epa_file_#,named_entity_x,clean_date_received_x,detailed_status,simplified status,Reason for rejection (if applicable),Date of EPA decision,"Presidential administration (considering, if pending; decided, if not)",Environmental Justice Issue(s) Cited,Alleged Discrimination Basis,City,State,ZIP code,Community Impacted,Filed by a lawyer?,Group filing,Filed on behalf of,Is this an EPA-initiated compliance review?,Does the complaint seem to be about an environmental justice matter? ,Notes on EJ categorization,Is there more than one complaint about the matter?,All related complaint numbers,"Total related complaints (includes situations where they're all unique, e.g. complaints filed at different times)","Count this as a unique complaint? (If part of a split complaint, the case with the highest EPA action status is marked ""yes"")",Complaint link,Notes,Additional notes,status check
10d-17-r4,"City of Tallahassee, FL",2017-02-07,rejected 3/1/2018: lack of jurisdiction,rejected,Lack of jurisdiction,3/1/2018,Trump,"DOJ referred the complaint, which is about contaminated drinking water (discolored, with ""bacteria, high iron and High chlorine""). ""I am disabled & brown water issues are causing more health issues.""","Section 504:
Disability",Tallahassee,FL,32303,Person with disabilities,No,Redacted individual,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-09/10D-17-R4%20Complaint_Redacted.pdf,,,Rejected 3/1/2018: Lack of Jurisdiction
09d-17-r9,"City of South Lake Tahoe, CA",2017-02-06,rejected 12/27/2018: allegation not grounded in fact/not appropriate for investigation/untimely,rejected,"allegation not grounded in fact, not appropriate for investigation, untimely",12/27/2018,Trump,"DOJ referred the complaint, which is about air toxics from an asphalt plant. ""People with immune system disabilities are much more vulnerable"" to these types of toxics, but the city has no provisions to protect complainant and others in that situation.","Section 504:
Disability",South Lake Tahoe,CA,96150,Person with disabilities,No,Redacted individual,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-09/09D-17-R9%20Complaint_Redacted.pdf,"Note: The start of the document shows another complaint, but scroll down for this one. On page 6 of the document, there's a question about efforts to resolve the complaint through internal grievance procedures and asks about the status. Answer: ""All sources claim 'no jurisdiction.'"" Later notes, ""There are no public entities that claim they can help disabled persons like me, who have unique vulnerabilities and are severely sensitive to airborne toxins. ... Six neighbors have died from cancer with no investigations.""",,Rejected 12/27/2018: Allegation Not Grounded in Fact/Not Appropriate for Investigation/Untimely
07r-17-r7,Missouri DNR,2016-12-27,rejected 7/13/2018: untimely filed,rejected,untimely,7/13/2018,Trump,"DOJ referred the complaint; city of Grandview, ""an environmental justice community,"" expressed environmental justice concerns about the state DNR's process for issuing a permit to Ideker in 2012 for an asphalt plant and effectively denied the city and its citizens opportunities for input",Title VI: Race,Grandview,MO,multiple,Predominantly Black and Latino residents,Yes,City of Grandview,,No,Yes,,Yes,"07r-17-r7, 08r-17-r7",2,yes,https://www.epa.gov/system/files/documents/2022-09/07R-17-R7%20Complaint%20%28NR%29.pdf,,,Rejected 7/13/2018: Untimely Filed
08r-17-r7,"Kansas City, MO Health Dept.",2016-12-26,Administratively Closed 8/14/2017: Complainant Withdrew Complaint,closed: complaint withdrawn,,8/14/2017,Trump,"DOJ referred the complaint; city of Grandview, ""an environmental justice community,"" expressed environmental justice concerns about the state DNR's process for issuing a permit to Ideker in 2012 for an asphalt plant and effectively denied the city and its citizens opportunities for input",Title VI: Race,Grandview,MO,multiple,Predominantly Black and Latino residents,Yes,City of Grandview,,No,Yes,,Yes,"07r-17-r7, 08r-17-r7",2,no,https://www.epa.gov/system/files/documents/2022-09/08R-17-R7%20Complaint%20%28NR%29.pdf,,,"Administratively Closed
8/14/2017: Complainant
Withdrew Complaint"
06x-17-r5,Wisconsin Dept. of Corrections        ,2016-11-30,rejected and referred to doj 8/3/2017: lack of jurisdiction,rejected and referred,Lack of jurisdiction,8/3/2017,Trump,Black mold in the showers located in cells is damaging the complainant's lungs. Flooding is also a problem and the drinking water seems contaminated; some prisoners were sickened. Complainant is concerned inmates will die.,None,Boscobel,WI,53805,Inmates,No,Redacted individual,,No,Yes,"No mention of protected class, though there likely is one; the jail probably doesn't receive EPA funding",,,1,yes,https://www.epa.gov/system/files/documents/2022-09/06X-17-R5%20Complaint_Redacted.pdf,"""I am a guy that's not ready for the WDOC to take my life and claim natural causes as I've known for them to do. ... They are violating my civil and federal rights to clean air, and to clean water. If you check, you'll see for yourself.""",,Rejected and Referred to DOJ 8/3/2017: Lack of Jurisdiction
03d-17-r4,Kentucky Energy & Envir. Cabinet,2016-11-29,rejected 9/15/2017: allegation not grounded in fact/not appropriate for investigation,rejected,"allegation not grounded in fact, not appropriate for investigation",9/15/2017,Trump,DOJ referred the complaint; the complainant had complained to the state EPA about fumes from a car-painting facility 20 feet from their house and was upset with how the agency handled it.,"Section 504:
Disability",Barbourville,KY,40906,Person with disabilities,No,Redacted individual,,No,Possibly,,,,1,yes,https://www.epa.gov/system/files/documents/2022-09/03D-17-R4%20Complaint%20Email_Redacted.pdf,This attachment has the meat of the complaint: https://www.epa.gov/system/files/documents/2022-09/03D-17-R4%20DOJ%20Complaint_Redacted_0.pdf. This is an internal email from a state employee about the matter: https://www.epa.gov/system/files/documents/2022-09/03D-17-R4%20Compl%20Attach1_Redacted.pdf,,Rejected 9/15/2017: Allegation Not Grounded in Fact/Not Appropriate for Investigation
04d-17-r9,"AvalonBay Communities, Inc.",2016-11-29,rejected 11/3/2017: lack of jurisdiction,rejected,Lack of jurisdiction,11/3/2017,Trump,"DOJ referred the complaint; the disabled complainant is chemically sensitive and cannot be exposed to pesticides, which the apartment complex is using","Section 504/ADA:
Disability",West Hills,CA,91308,Person with disabilities,No,Redacted individual,,No,Possibly,"Unlikely the apartment complex receives EPA funding, though",Yes,"04d-17-r9, 05d-17-r9",2,yes,https://www.epa.gov/system/files/documents/2022-09/04D-17-R9%20Complaint_Redacted.pdf,,,Rejected 11/3/2017: Lack of Jurisdiction
05d-17-r9,Oakwood Worldwide,2016-11-29,rejected 11/3/2017: lack of jurisdiction,rejected,Lack of jurisdiction,11/3/2017,Trump,"DOJ referred the complaint; the disabled complainant is chemically sensitive and cannot be exposed to pesticides, which the apartment complex is using","Section 504/ADA:
Disability",West Hills,CA,91308,Person with disabilities,No,Redacted individual,,No,Possibly,"Unlikely the apartment complex receives EPA funding, though",Yes,"04d-17-r9, 05d-17-r9",2,no,https://www.epa.gov/system/files/documents/2022-09/05D-17-R9%20Complaint_Redacted.pdf,,,Rejected 11/3/2017: Lack of Jurisdiction
02r-17-r9,Calif. Air Resources Board,2016-11-14,administratively closed 12/5/2016: complainant withdrew complaint,closed: complaint withdrawn,,12/5/2016,Obama,"The California Air Resources Board’s Cap and Trade program ""violates Title VI of the Civil Rights Act by denying Californian of color living near Cap and Trade facilities the benefits of direct emissions reductions,"" resulting in ""racially disparate impact based on the demographic composition of communities near Cap and Trade facilities compared to the unaffected population.""",Title VI: Race,multiple,CA,multiple,People of color,Yes,Coalition for a Safe Environment; Association of Irritated Residents; California Communities Against Toxics; Society for Positive Action; West County Toxics Coalition,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-09/02R-17-R9%20Complaint%20with%20Exhibits%20%28NR%29.pdf,"""Complainants respectfully request that OCR (1) articulate a standard for ripeness that will inform the public when a complainant should file a Title VI complaint; and (2) accept this Complaint for investigation. Even if OCR finds that this complaint is still not ripe for review, then OCR should nevertheless accept the complaint for investigation and hold the complaint in abeyance pending the action OCR deems necessary for ripeness.""",,Administratively Closed 12/5/2016: Complainant Withdrew Complaint
01r-17-r5,Illinois EPA,2016-11-02,rejected 11/24/2017: lack of jurisdiction; untimely filed,rejected,"Lack of jurisdiction, untimely",11/24/2017,Trump,"Referred by the White House, to which the complainant wrote asking for help, saying a state EPA inspector was targeting his medical waste treatment business and ""spoke personal racial attacks against me and my staff.""",Title VI: Race,Rockford,IL,61101,Not disclosed,No,Redacted individual,,No,No,Not about pollution or other environmental exposure,,,1,yes,https://www.epa.gov/system/files/documents/2022-09/01R-17-R5%20WHCorrespondence2_Redacted.pdf,Attached: https://www.epa.gov/system/files/documents/2022-09/01R-17-R5%20WHCorrespondence1_Redacted.pdf,,Rejected 11/24/2017: Lack of Jurisdiction; Untimely Filed
48x-16-r6,Lewis Unit (TX),2016-09-23,Resolved and closed administratively 12/19/2016: provided EPA contact re: injection of flotation foam for boats,closed: not a complaint,"N/A; not actually a Title VI complaint, just a request for information",N/A,,Entrepreneur asks EPA generally (not Title VI office specifically) about hazards of floatation foam for boat manufacturing,None,Woodville,TX,not disclosed,Potential business owner,No,Redacted individual,,No,No,"Not a complaint, just a request for information",,,1,N/A,https://www.epa.gov/system/files/documents/2022-09/48X-16-R6%20Complaint%20Redacted.pdf,,,"Resolved and closed
administratively 12/19/2016: provided EPA contact re: injection of flotation foam for boats"
46r-16-r4,Lee County (FL) School District,2016-09-22,Rejected 5/1/2017: Lack of Jurisdiction,rejected,Lack of jurisdiction,5/1/2017,Trump,"Complaint was primarily to the U.S. Department of Education, secondarily to the EPA: Lee County School District was going to cause ""disparate discriminatory impact on students of color and race by siting a new Title I high school that has predominantly (more than 50%) Hispanic and Black student population in Bonita Springs Florida on a parcel of land that is contaminated by asbestos and diesel fuel, and the site is also located next to an extremely high-volume traffic roadway, federal Interstate I-75 generating additional air pollution."" ","Title VI: Race,
National Origin",Bonita Springs,FL,34135,Predominantly Black and Latino students,Yes,"IPASS, Inc.",,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-09/46R-16-R4%20Complaint%20%28NR%29.pdf,Note: The school district did build the high school at that location (https://bnh.leeschools.net/). Separate complaint about discriminatory disciplinary actions by the school district: https://southerncoalition.org/community-groups-add-civil-rights-complaint-lee-county-school-system/,,"Rejected 5/1/2017: Lack of
Jurisdiction"
44rno-16-r9,Hawaii Dept. of Agriculture,2016-09-15,resolved through informal resolution agreement 5/30/2019; in monitoring,resolved: informal resolution agreement,,5/30/2019,Trump,"Hawaiʻi's Agribusiness Development Corporation ""facilitates the constant drift of pesticides and pesticide-laden dust into Native Hawaiian communities by leasing thousands of acres near them to heavy pesticide users, primarily genetically engineered seed companies, that spray tens of thousands of pounds of toxic pesticides each year,"" and the state Department of Agriculture is not intervening. Crossfiled to EPA and USDA.","Title VI: Race,
National Origin",multiple,HI,multiple,Native Hawaiian communities,Yes,Earthjustice,The Moms On a Mission (MOM) Hui; Pōʻai Wai Ola/West Kauaʻi Watershed Alliance,No,Yes,,Yes,"44rno-16-r9, 45rno-16-r9",2,yes,https://www.epa.gov/system/files/documents/2022-09/44RNO-16-R9%20Complaint%20Redacted.pdf,"Press release from Earthjustice: https://earthjustice.org/press/2016/native-hawaiians-bring-civil-rights-complaint-against-state-agencies-on-pesticide-use. NOTE: An employee at the state agency filed a retaliation complaint, alleging retaliation on the job after involvement in this complaint. See that complaint here: https://www.epa.gov/system/files/documents/2022-08/02r-20-R9%20Complaint_Redacted.pdf",,Resolved Through Informal Resolution Agreement 5/30/2019; In Monitoring
45rno-16-r9,Hawaii Agribusiness Dev. Corp.,2016-09-15,resolved through informal resolution agreement 8/29/2019; in monitoring,resolved: informal resolution agreement,,8/29/2019,Trump,"Hawaiʻi's Agribusiness Development Corporation ""facilitates the constant drift of pesticides and pesticide-laden dust into Native Hawaiian communities by leasing thousands of acres near them to heavy pesticide users, primarily genetically engineered seed companies, that spray tens of thousands of pounds of toxic pesticides each year,"" and the state Department of Agriculture is not intervening. Crossfiled to EPA and USDA.","Title VI: Race,
National Origin",multiple,HI,multiple,Native Hawaiian communities,Yes,Earthjustice,The Moms On a Mission (MOM) Hui; Pōʻai Wai Ola/West Kauaʻi Watershed Alliance,No,Yes,,Yes,"44rno-16-r9, 45rno-16-r9",2,no,https://www.epa.gov/system/files/documents/2022-09/45RNO-16-R9%20Complaint%20Redacted.pdf,"Press release from Earthjustice: https://earthjustice.org/press/2016/native-hawaiians-bring-civil-rights-complaint-against-state-agencies-on-pesticide-use. NOTE: An employee at the state agency filed a retaliation complaint, alleging retaliation on the job after involvement in this complaint. See that complaint here: https://www.epa.gov/system/files/documents/2022-08/02r-20-R9%20Complaint_Redacted.pdf",,Resolved Through Informal Resolution Agreement 8/29/2019; In Monitoring
